 L'idée n'a rien de très nouveau, mais je sais que je peux lancer le projet.                                                                                          ;Cela va marcher : mon idée est incroyable !                                                                                             
 L'entrepreneur n'a pas de vie.                                                                                                                                       ; L'entrepreneur est libre !                                                                                                              
 Entreprendre, c'est gagner de l'argent.                                                                                                                              ; Entreprendre, c'est réaliser ses rêves.                                                                                                 
 Un temps pour tout, car mon temps perso est aussi important.; Cela ne m'inquiète pas de finir très tard le soir.                                                                                      
 Je suis un sérial entrepreneur.                                                                                                                                      ; Lancer une boite, c'est trop sérieux pour s'éparpiller.                                                                                 
 Rien contre une bonne fête de temps en temps, mais il faut avouer que ça n'accélère pas le busines                                                                   ; Grosses soirées, même les soirs de la semaine ! C'est sympa et on rencontre du monde.                                                   
 Je peux travailler beaucoup s'il le faut. S'il le faut vraiment !                                                                                                    ; Je suis un workaholic.                                                                                                                  
 J'aime terminer correctement chaque tâche que j'entame. Du travail bien fait !                                                                                       ; J'aime passer rapidement d'une tâche à l'autre. Un vrai zappeur !                                                                       
 Est-il vraiment nécessaire que j'intervienne ? Chacun est grand après tout !                                                                                         ; J'aime me sentir responsable d'autres personnes.                                                                                        
 Peu disponible, j'ai fait avancer mon projet comme je pouvais, entre minuit et 2h ...                                                                                ; J'étais disponible à plein temps, à 100% sur le projet.                                                                                 
 J'ai souvent gagné ma crédibilité par la qualité de mes actions.                                                                                                     ; Je dois avoir une bonne tête,  visiblement on me fait facilement confiance !                                                            
 C'est quand même mieux fait et plus complet à plusieurs !                                                                                                            ; C'est quand même plus simple et plus rapide tout seul.                                                                                  
" J'aime bien l'idée du génie qui est aussi ""loup solitaire"".                                                                                                          "; Je suis particulièrement sociable.                                                                                                      
 J'ai dix numéro dans mon répertoire. En comptant celui de ma maman.                                                                                                  ; J'adore réseauter !                                                                                                                     
 Faire confiance, c'est gagner beaucoup de temps.                                                                                                                     ; Faire confiance, c'est faire preuve d'un peu de naïveté.                                                                                
 Si je tombe, je risque de me casser une jambe.                                                                                                                       ; C'est en tombant qu'on devient cavalier !                                                                                               
 Il y a certainement une bonne raison pour que personne ne l'ait jamais fait.                                                                                         ; Si je n'essaie pas, je ne peux pas savoir si cela fonctionne !                                                                          
 Ah ! L'adrénaline d'un pari un peu risqué !                                                                                                                          ; Je ne parie jamais si je ne suis pas sûr de gagner !                                                                                    
 N'importe qui peut créer sa boîte, peu importe sa classe sociale.                                                                                                    ; Il faut être relativement riche pour créer sa boite                                                                                     
 Tout est question de priorité. Moi, j'ai besoin de mes 8 heures de sommeil                                                                                           ; J'ai beau essayer, je n'ai même pas le temps de dormir plus de 4h par nuit !                                                            
 Après 20h, on est enfin tranquille pour travailler efficacement.                                                                                                     ; Dossier tôt le matin, divin travail !                                                                                                   
 Je suis dans l'effectuation.                                                                                                                                         ; Je suis dans la planification.                                                                                                          
 J'attends d'être bien stressé pour être vraiment efficace.                                                                                                           ; Je m'organise pour éviter un maximum de situations très stressantes.                                                                    
 Impossible de me rouler dans la farine !                                                                                                                             ; J'ai tendance à être un peu candide.                                                                                                    
 Le sport ? Oui, sur console !                                                                                                                                        ; Une semaine sans sport ? Impensable. Un esprit sain dans un corps sain !                                                                
 La vie n'est pas toujours drôle, et moi non plus.                                                                                                                    ; Je suis toujours de bonne humeur !                                                                                                      
 Le respect systématique des règles permet le respect des gens qui nous entourent.                                                                                    ; Ah, il y avait une règle à suivre ? Mince !                                                                                             
 Je n'envisage pas la possibilité de faire un double 6 avec deux dés.                                                                                                 ; J'ai toujours une chance d'enfer !                                                                                                      
 Je sais parler devant du monde, mais mon corps me rappelle souvent que je n'aime pas ça.                                                                             ; Parler devant du monde est un plaisir.                                                                                                  
 Si vous le dites : c'est vous le spécialiste !                                                                                                                       ; En général, j'ai raison.                                                                                                                
 Si je me demande comment ça marche, je préfère demander l'avis d'un expert.                                                                                          ; Je trouve toujours les infos, Google est mon allié.                                                                                     
 Je n'ai pas de domaine d'expertise, mais je suis curieux de tout.                                                                                                    ; Je suis près d'être un expert sur plusieurs sujets.                                                                                     
 J'ai un vague souvenir d'une BD plutôt sympa, que j'avais lue chez mon frère.                                                                                        ; Je lis un livre par semaine en moyenne.                                                                                                 
 Je rêve de voyages, encore faudrait-il avoir un peu de temps.                                                                                                        ; Il faut voyager ! La vie est courte.                                                                                                    
 Tentons un smash orgueilleux : si ça passe pas, ça débarrasse.                                                                                                       ; 8 balles de match contre moi : ce n'est pas fini !                                                                                      
 Plutôt passer à autre chose que perdre trop de temps.                                                                                                                ; Je peux passer des heures à trouver une solution                                                                                        
 Il faut se rendre à l'évidence. Il y a peu de chances que cela fonctionne.                                                                                           ;" Comment ça, ""improbable"" ?! Je suis persuadé que cela va réussir.                                                                       "
 J'espère bien rester anonyme.                                                                                                                                        ; J'ai envie d'être connu ou reconnu.                                                                                                     
 Je veux changer le monde !                                                                                                                                           ; J'ai de l'ambition, mais pas celle de changer le monde.                                                                                 
 J'accepte tous ces efforts et sacrifices pour être indépendant et maître de mon projet.                                                                              ; J'accepte tous ces efforts et sacrifices dans le but de gagner beaucoup d'argent.                                                       
 Je fais plutôt confiance à ma capacité d'analyse.                                                                                                                    ; Je fais très facilement confiance à mon instinct.                                                                                       
 La prise de décision doit être réfléchie et ne laisse que peu de place au doute.                                                                                     ; La prise de décision doit être rapide et efficace, l'important est de trancher.                                                         
 Je suis en général assez sûr de moi et n'ai pas besoin d'avis extérieurs pour faire mes choix.                                                                       ; Je tiens compte des conseils des autres dans mes choix.                                                                                 
 L'humilité est une vertu.                                                                                                                                            ; L'humilité, pour quoi faire ?                                                                                                           
 Générosité = se faire avoir.                                                                                                                                         ; Générosité = être sympa.                                                                                                                
 Pour réussir, il faut parfois faire des concessions quitte à s'éloigner un peu de ses valeurs.                                                                       ; Je fais parfois des choix peu stratégiques pour ne pas aller à l'encontre de mes valeurs.                                               
 Le tri sélectif, c'est un effort qui ne sert pas à grand chose.                                                                                                      ; Le tri sélectif, c'est un effort qui payera pour les générations futures.                                                               
 Je sais développer et consolider un business. Je prends note de mes autres idées pour plus tard.                                                                     ; J'ai dix idées par jour, et je m'amuse à en lancer un maximum.                                                                          
 Avec trois stylos, j'écris, je souligne et je corrige.                                                                                                               ; Avec trois stylos j'invente l'hydroénergie.                                                                                             
 Je suis très voir trop rêveur.                                                                                                                                       ; Je suis très voir trop réaliste.                                                                                                        
 Si je pouvais me concentrer sur la solution technique plutôt que les démarches commerciales, cela m'arrangerait !                                                    ; J'arriverai à vendre une lampe frontale à un non voyant.                                                                                
 Je vois la vente comme une technique, une suite de processus à appliquer.                                                                                            ; Je vois la vente comme un jeu, un challenge.                                                                                            
 Pas de contraintes personnelles, j'ai pu gérer mon temps comme je l'entendais.                                                                                       ; Avec des enfants en bas âge, les nuits étaient compliquées (ou autre contrainte personnelle).                                           
 J'étais en couple.                                                                                                                                                   ; J'étais célibataire.                                                                                                                    
 Admettons que le projet échoue, j'aurais été très déçu mais ma vie n'aurait pas été en danger.                                                                       ; Si ce projet avait raté, il aurait été très difficile de m'en sortir financièrement.                                                    
" Il ne s'agissait ""que"" d'un projet, il faut relativiser !                                                                                                            "; Je n'avais jamais pris autant de risques qu'en lançant ce projet.                                                                       
 S'il avait fallu choisir entre continuer ou perdre des liens proches, j'aurai abandonné.                                                                             ; J'étais prêt à perdre beaucoup de liens pour mener à bien mon projet.                                                                   
 Je n'avais pas d'autre activité en parallèle.                                                                                                                        ; Mon autre activité / ma première boîte finançait le développement de ce projet.                                                         
 C'était presque un projet industriel ! Il a fallu beaucoup d'argent au démarrage.                                                                                    ; J'ai lancé une entreprise de service, donc pas besoin de capital au départ.                                                             
 J'imaginer tous les scénarios, mais hors de question que je perdre de l'argent ou que je m'endette.                                                                  ; Je n'avais pas peur de perdre de l'argent.                                                                                              
 S'inquiéter ? À propos de quoi ?                                                                                                                                     ; Je ne pouvais pas le dire, mais j'avais peur de me lancer !                                                                             
 J'ai eu l'impression de jouer au lanceur de couteaux les yeux bandés !                                                                                               ; Ce n'était pas ma première création d'entreprise, je savais où j'allais !                                                               
 Je me suis demandé ce que j'allais bien pouvoir vendre une fois la boîte créée!                                                                                      ; Une réelle opportunité s'est présentée, impossible de la laisser passer. !                                                              
 Professionnellement, l'entrepreneuriat s'est avéré être le meilleur / seul choix qui se présente à moi.                                                              ; Professionnellement, il aurait été plus logique / facile / rentable de ne pas devenir entrepreneur.                                     
" Mon idée était ""révolutionnaire"" !                                                                                                                                   "; Mon idée/concept existait déjà quelque part.                                                                                            
 J'avais prévu de créer ma boîte, accompagné ou non.                                                                                                                  ; Un associé est venu me chercher et m'a motivé à monter le projet.                                                                       
 Le projet a tout de suite été pensé comme un projet d'entreprise pérenne.                                                                                            ;" J'ai débuté petit à petit, sans imaginer que cela deviendrait une ""vraie"" entreprise.                                                   "
 J'ai débuté avec un/des associé(s).                                                                                                                                  ; J'ai débuté seul.                                                                                                                       
 Je ne connaissais absolument personne ! Ma famille et mon réseau personnel n'ont rien à voir avec le monde de l'entrepreneuriat ou mon secteur d'activité actuel.    ; Régional de l'étape, je connaissais beaucoup de monde. Mes réseaux professionnel et personnel m'ont  beaucoup aidés dès le début.       
 Pas un seul membre de la famille pour comprendre mon projet, du coup personne n'y croyait !                                                                          ; Mes amis ou ma famille me soutenaient corps et âme !                                                                                    
 Je ne connaissais pas d'autres personnes dans ma situation.                                                                                                          ; Je connaissais quelques entrepreneurs qui débutaient en même temps que moi.                                                             
 J'ai également bénéficié d'une conjoncture positive, c'était le bon moment de se lancer.                                                                             ; Et en plus c'était la crise économique !                                                                                                
 J'étais en improvisation totale. J'avançais grâce à mes recherches et mon bon sens.                                                                                  ; L'entrepreneuriat était un sujet que je connaissais bien.                                                                               
 J'étais  un gestionnaire de projet, quelque soit le sujet. Pas d'expertise dans une domaine donné.                                                                   ; J'étais un spécialiste dans mon domaine. Un expert reconnu.                                                                             
 J'avais une grande confiance en mon produit/service, mais aucune idée de comment et où le vendre.                                                                    ; Je savais très bien comment j'allais vendre mon produit/service.                                                                        
 Mon premier client n'a signé qu'au bout de nombreux mois.                                                                                                            ; J'avais un/des client(s) avant même de commencer.                                                                                       
 Il a fallu croire au projet très fort pour tenir la première année.                                                                                                  ; La première année ne fut pas si difficile commercialement.                                                                              
 Visionnaire, (peut être un peu trop), le marché n'existait pas encore.                                                                                               ; J'ai surfé sur un marché en plein développement.                                                                                        
 J'ai lancé le projet dans un flou artistique total.                                                                                                                  ; Je vendais un produit/service très précis, bien ciblié.                                                                                 
 Mon idée était vielle comme le monde : j'ai su innover avec.                                                                                                         ; J'ai bénéficié/découvert une rupture technologique (innovation).                                                                        
 J'ai identifié un besoin fort et j'ai construit une réponse au besoin moi même.                                                                                      ; J'au eu une idée, alors j'ai cherché à qui la vendre.                                                                                   
 Il aurait certainement été plus confortable de bénéficier du chômage.                                                                                                ; Comme beaucoup d'entrepreneurs, c'est le chômage qui m'a financé ma première année.                                                     
 Ni PEL ni livret A, rien ! Je ne pouvais pas survivre sans me rémunérer dès le premier mois.                                                                         ; J'avais un minimum d'argent de côté pour de survivre quelques mois.                                                                     
 J'ai développé mon affaire sans aides extérieures.                                                                                                                   ; J'ai bénéficié de nombreuses aides/bourses/prêts/love money.                                                                            
 Je n'ai pas investi personnellement d'argent sur le projet.                                                                                                          ; J'ai personnellement investi de l'argent sur mon projet.                                                                                
 Le marché était totalement atomisé, il a fallu être assez malin !                                                                                                    ; Avant moi, il n'y avait absolument aucun concurrent direct.                                                                             
 Hormis mon impatience, il n'y avait pas d'urgence à ce que le projet progresse vite.                                                                                 ; Il a fallu que je démarre très vite : sinon, la concurrence m'aurait étouffé.                                                           
 Il y a vraiment quelque chose à faire. Est ce que cela va vraiment décoller ? L'avenir nous le dira.                                                                 ; J'y crois dur comme fer !                                                                                                               
 Tout travail mérite salaire : j'espère me sortir une rémunération digne de ce nom dès le premier mois.                                                               ; Un an sans se rémunérer, c'est bien normal. On est passionné ou on ne l'est pas.                                                        
 D'ici deux ou trois ans, j'aurai un niveau de vie très confortable.                                                                                                  ; D'ici deux ou trois ans je serai très content d'arriver à me sortir un Smic.                                                            
 L'objectif est de développer mon entreprise, et pourquoi pas, la transmettre à mes enfants un jour.                                                                  ;" L'objectif, à plus ou moins long terme est de se faire racheter et de faire une belle ""culbute"".                                        "
 Le projet sera grand et portera des dizaines de salariés !                                                                                                           ; Small is beautiful, pas plus de dix salariés en rythme de croisière.                                                                    
 D'ici un an nous devrions être trois ou quatre personnes à plein temps pour le développement de la structure.                                                        ; D'ici un an j'espère avoir un stagiaire pour m'aider.                                                                                   
 S'il faut une levée de fonds pour atteindre nos objectifs, nous le ferons.                                                                                           ; L'ouverture du capital à des financiers ?! Jamais.                                                                                      
 Tout ira bien si notre viabilité est prouvée dans trois ans.                                                                                                         ; 1 million de CA dans deux ans !                                                                                                         
 Nous devons faire du très bon boulot, mais pas la peine d'être particulièrement connus.                                                                              ; L'entreprise doit devenir une référence sur le marché.                                                                                  
 J'aimerai beaucoup développer un réseau national, voire international !                                                                                              ; Ce projet peut et doit rester local.                                                                                                    
 Les anciennes recettes sont les meilleures : contrôle strict et respect de la hiérarchie.                                                                            ; Ambiance Start' up et management Start up !                                                                                             
 Une structure a besoin d'un chef pour progresser.                                                                                                                    ; Tous égaux dans l'entreprise ! La hiérarchie sera très horizontale.                                                                     
 L'équipe est au centre de toutes décisions.                                                                                                                          ; Le client est au centre de toutes décisions.                                                                                            
 On produira là où il y a le meilleur rapport qualité/prix.                                                                                                           ; On fera tout pour produire localement.                                                                                                  
 Peut importe qui il est et ce qu'il vend, un client est un client.                                                                                                   ; On refusera un client s'il est à l'opposé de nos valeurs.                                                                               
 Je trouve la logique ESS très intéressante : on verra quand on sera une entreprise pérenne.     ; Quitte à perdre en rentabilité, il faut tout mettre en place des valeurs sociales et environnementales fortes.     