nom;cat;tags;link;date
L'entreprise du bonheur;livre;culture d'entreprise[]relation client[]Hsieh;http://www.chez-mon-libraire.fr/livre/9782848994871-l-entreprise-du-bonheur-tony-hsieh;1459787498
Maddyness;page_web;information[]actualité[]magazine;http://www.maddyness.com/;1459846836
Blog de Guilhem Bertholet;page_web;blog[]experience[]conseil[]histoires;http://www.guilhembertholet.com/blog/;1459948934
Effectuation, Les Principes De L'entrepreunariat Pour Tous;livre;Effectuation;http://www.chez-mon-libraire.fr/livre/9782744065897-effectuation-les-principes-de-l-entrepreunariat-pour-tous-philippe-silberzahn/;1459949268
Silicon Valley;video;série TV[]fiction;http://www.allocine.fr/series/ficheserie_gen_cserie=11701.html;1459949390
Koudetat;page_web;conseil[]methode[]levée de fond[]vente;http://www.koudetatondemand.co/?program=la-base;1461142766
Udacity;page_web;formation[]cours[]conseil[]methode;www.udacity.com/course/how-to-build-a-startup--ep245;1461142888
Business model generation;livre;business model[]stratégie[]outil;http://www.businessmodelgeneration.com/;1461153123
GRP LAB;page_web;business model[]story telling[]outil;http://grp-lab.com/;1461153401
Agence Pour la Création d'Entreprises;page_web;organisme[]informations[]statistiques;www.apce.com;1461153506
Business Model nouvelle génération;livre;stratégie[]Sciences de gestion;http://www.chez-mon-libraire.fr/livre/9782744064876-business-model-nouvelle-generation-osterwalder-pigneur/;1465396735
Lean Analytics ;livre;Statistics[]Entrepreneurship[]Management & Leadership;http://www.chez-mon-libraire.fr/ebook/9781449335700-lean-analytics-alistair-croll/;1465397007
Lean start-up ;livre;Stratégie[]sciences de gestion[]innovation[]start-up;http://www.chez-mon-libraire.fr/ebook/9782744046797-lean-start-up-adopter-l-innovation-continue-eric-ries/;1465397162
"La Méthode Running Lean ; Transformer Votre Idée En Succès";livre;;http://www.chez-mon-libraire.fr/livre/9782354561239-la-methode-running-lean-transformer-votre-idee-en-succes-ash-mauraya/;1465397325
BACKPACK EDITION 2.2 : Se préparer à  l'aventure entrepreneuriale !;livre;management[]entreprise[]entepreneuriat;https://www.amazon.fr/BACKPACK-2-2-préparer-laventure-entrepreneuriale/dp/2954796006?ie=UTF8&redirect=true&tag=pragmaticentrepreneurs-21;1465397689
The Art of the Start 2.0;livre;start-up[]entrepreneurship;http://www.chez-mon-libraire.fr/livre/9780241187265-art-of-the-start-2-0-the-guy-kawasaki/;1465398497
"La Création D'entreprise ; Création, Reprise, Développement";livre;;http://www.chez-mon-libraire.fr/livre/9782100721603-la-creation-d-entreprise-creation-reprise-developpement-robert-papin/;1465398609
Secrets of Power Negotiating: Inside Secrets from a Master Negotiator;livre;vente[]négociation;https://www.amazon.fr/Secrets-Power-Negotiating-Inside-Negotiator/dp/1601631391?ie=UTF8&redirect=true&tag=pragmaticentrepreneurs-21;1465398721
Spin Selling;livre;vente[]négociation;https://www.amazon.fr/Spin-Selling-Neil-Rackham/dp/0070511136?ie=UTF8&redirect=true&tag=pragmaticentrepreneurs-21;14653992022
Le management Lean ;livre;management[]gestion;http://www.chez-mon-libraire.fr/livre/9782744065521-le-management-lean-michael-balle-godefroy-beauvallet/;1465399645
Pratique de l'Asset management;livre;Management;http://www.chez-mon-libraire.fr/livre/9782212553499-pratique-de-l-asset-management-fondamentaux-contexte-legal-et-meilleures-pratiques-abderma-soltani/;1465399720
Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Application;livre;Software Development[]valeur;https://www.amazon.fr/Getting-Real-Smarter-Successful-Application/dp/0578012812?ie=UTF8&redirect=true&tag=pragmaticentrepreneurs-21;1465400248
Make Something People Love: Lessons From a Startup Guy;livre;;http://www.hyperink.com/Make-Something-People-Love-Lessons-From-A-Startup-Guy-b1478;1465400950
REWORK : REUSSIR AUTREMENT;livre;;http://www.chez-mon-libraire.fr/livre/9782840017134-rework-reussir-autrement-jason-fried-david-heinemeier-hansson/;1465401035
L'art d'aller à  l'essentiel;livre;management;http://www.chez-mon-libraire.fr/livre/9782848995311-l-art-d-aller-a-l-essentiel-le-pouvoir-d-une-vie-simplifiee-se-fixer-moins-d-objectifs-progresser-changer-ses-habitudes-pour-une-vie-plus-epanouissante-leo-babauta/;1465401513
S'organiser pour réussir : Getting Things Done;livre;gestion;http://www.chez-mon-libraire.fr/livre/9791092928136-s-organiser-pour-reussir-getting-things-done-la-methode-gtd-ou-l-art-de-l-efficacite-sans-le-stress-david-allen/;1465401618
"Scrum ; le guide pratique de la méthode agile la plus populaire (4e édition)";livre;informatique[]Systèmes d'information;http://www.chez-mon-libraire.fr/livre/97882100738748-scrum-le-guide-pratique-de-la-methode-agile-la-plus-populaire-4e-edition-claude-aubry/;1465401890
"La Semaine De 4 Heures ; Travaillez Moins, Gagnez Plus Et Vivez Mieux ! (2e édition)";livre;gestion;http://www.chez-mon-libraire.fr/livre/9782744064173-la-semaine-de-4-heures-travaillez-moins-gagnez-plus-et-vivez-mieux-2e-edition-ferriss-timothy/;1465401978
"La Méthode Google ; Que Ferait Google à Votre Place ?";livre;gestion[]succès;http://www.chez-mon-libraire.fr/livre/9782266216210-la-methode-google-que-ferait-google-a-votre-place-jeff-jarvis/;1465402113
Les secrets d'innovation de Steve Jobs;livre;gestion[]entreprise[]bourse[]succès;http://www.chez-mon-libraire.fr/livre/9782744064869-les-secrets-d-innovation-de-steve-jobs-carmine-gallo/;1465402174
"Opération Boomerang ; 360 Idées Pour Faire Revenir Vos Clients à L'heure D'internet";livre;fidélité client[]client[]boomerang[]succès;http://www.chez-mon-libraire.fr/livre/9782919728091-operation-boomerang-360-idees-pour-faire-revenir-vos-clients-a-l-heure-d-internet-philippe-bloch/;1465402265
S'inspirer des start-up à  succès;livre;start-up[]succès[]stratégie[]création;http://www.chez-mon-libraire.fr/livre/9782100711215-s-inspirer-des-start-up-a-succes-adrien-tsagliotis/;1465402422
THE PERSONAL MBA;livre;management[]gestion;http://www.chez-mon-libraire.fr/livre/9780670919536-the-personal-mba-a-world-class-business-education-in-a-single-volume-josh-kaufman/;1465402764
C'est (vraiment ?) Moi Qui Décide;livre;connaissance de soi[]développement personnel;http://www.chez-mon-libraire.fr/livre/9782081285750-c-est-vraiment-moi-qui-decide-dan-ariely/;1465402941
Influence Et Manipulation ;livre;psychologie[]psychologie sociale[]influence[]manipulation[]psychanalyse;http://www.chez-mon-libraire.fr/livre/9782266227926-influence-et-manipulation-robert-b-cialdini/;1465403046
Petit Traité De Manipulation à L'usage Des Honnêtes Gens (3e édition);livre;psychologie[]psychologie sociale[]manipulation;http://www.chez-mon-libraire.fr/livre/9782706118852-petit-traite-de-manipulation-a-l-usage-des-honnetes-gens-3e-edition-robert-vincent-joule-jean-leon-beauvois/;1465403140
Thinking, Fast and Slow;livre;Cognitive Psychology[]Decision-Making[]Problem Solving;http://www.chez-mon-libraire.fr/livre/9780141033570-thinking-fast-and-slow-daniel-kahneman/;1465403231
Five priorities for competing in an era of digital globalization;article;digital[]globalization[]communication;http://www.mckinsey.com/business-functions/strategy-and-corporate-finance/our-insights/five-priorities-for-competing-in-an-era-of-digital-globalization ;1466154098
Concevoir sa stratégie digitale, un acte de foi;article;stratégie digitale[]entreprendre[]e-publicité[]digital;http://www.webmarketing-com.com/2016/05/13/47302-concevoir-strategie-digitale-acte-de-foi;1466154321
Portrait-robot de la femme chef d'entreprise;image;portrait-robot;https://pbs.twimg.com/media/Cj9Z1k5XIAUK0Gw.jpg;1466155309
Le freemium, comment assurer son succès ? ;article;freemium[]succès;http://1001startups.fr/business-model-freemium-2/?platform=hootsuite;1466157425
Séduire les investisseurs pour décrocher un RDV ;article;conseil[]investisseurs;http://1001startups.fr/seduire-investisseurs/?platform=hootsuite;1466157483
Infographie : 16 erreurs qui tuent les startups;image;Infographie[]start-up[]erreurs;http://1001startups.fr/16-erreurs-qui-tuent-les-startups/?platform=hootsuite;1466157542
Startup: Présentez votre produit comme Steve Jobs ;article;préentation[]produit[]start-up;http://1001startups.fr/presentez-produit-comme-steve-jobs/?platform=hootsuite;1466157623
Comment réussir son pivot ? 3 pivots de start-ups analysés à  la loupe;article;pivot[]start-up;http://1001startups.fr/reussir-son-pivot-startup/;1466157699
Business model : 5 exemples concrets à  adopter;article;business model[]business[]model;http://1001startups.fr/5-exemples-business-model/?platform=hootsuite;1466157771
30 applications mobiles vitales pour les entrepreneurs;article;application mobile[]entreprendre[]conseils[]application;http://1001startups.fr/30-applications-mobiles-pour-les-entrepreneurs/?platform=hootsuite;1466157859
9 règles à  connaître avant de recruter des stagiaires;article;stagiaires[]recrutement;http://entreprendre.fr/9-regles-a-connaitre-avant-de-recruter-des-stagiaires?platform=hootsuite;1466157949
Entreprises : les démarches pour demander le Crédit d'Impôt innovation;article;crédit d'impôt[]démarche[]enteprendre[]impôt;http://entreprendre.fr/entreprises-les-demarches-pour-demander-le-credit-d-impot-innovation?platform=hootsuite;1466158022
Comment changer les habitudes dans l'entreprise ?;article;changer[]changement[]habitudes;http://entreprendre.fr/comment-changer-les-habitudes-dans-lentreprise ;1466158113
7 Big Brand Social Media Strategies for Small Businesses;article;social media strategies[]stratégie digitale[]entreprendre;https://blog.hootsuite.com/big-brand-social-media-strategies-business/?utm_source=twitter&utm_medium=owned_social&utm_campaign=social_hootsuite&Last_Associated_Campaign__c=701a0000002JXk5&hootPostID=196fbf872ac60ac846dd97de8b4bdfe2;1466158231
Les avantages des Groupes et des Pages Entreprise LinkedIn;article;LinkedIn[]digital;https://blog.hootsuite.com/fr/les-avantages-des-groupes-et-des-pages-entreprise-linkedin/?utm_source=twitter&utm_medium=owned_social&utm_campaign=social_community_france&Last_Associated_Campaign__c=701a0000002JPu4&hootPostID=27adefd45d6b0267751a4494170df;1466158292
18 conseils marketing digital incontournables pour les entreprises;article;conseils[]marketing[]digital[]entreprendre;https://blog.hootsuite.com/fr/18-conseils-marketing-digital-incontournables-pour-les-entreprises/?utm_source=twitter&utm_medium=owned_social&utm_campaign=social_community_france&Last_Associated_Campaign__c=701a0000002JPu4&hootPostID=2c4b1ff055a6d919c4235;1466158400
Créer et développer une communauté sur les réseaux sociaux;article;communication digitale[]réseaux sociaux[]communauté;http://www.macondomedia.fr/blog/2016/05/04/creer-et-developper-une-communaute-sur-les-reseaux-sociaux/;1466158492
Entreprises : 4 étapes pour établir votre crédibilité sur les réseaux sociaux;article;réseaux sociaux[]communication[]digitale[]entreprendre[]stratégie;http://www.macondomedia.fr/blog/2016/04/20/entreprises-4-etapes-pour-etablir-votre-credibilite-sur-les-reseaux-sociaux/;1466158565
Réseaux sociaux : pourquoi Twitter est incontournable;article;réseaux sociaux[]conseils[]communication[]digitale;http://www.macondomedia.fr/blog/2016/03/30/reseaux-sociaux-ce-quil-faut-savoir-sur-twitter-en-2016/;1466158622
Entreprises : comment réagir à  des avis négatifs sur les réseaux sociaux;article;conseils[]réseaux sociaux[]communication[]digitale;http://www.macondomedia.fr/blog/2015/12/14/e-commerce-comment-reagir-face-a-un-bad-buzz/#.V1gUs4Tz2KE.twitter;1466158671
comment créer son entreprise ?;video;création[]entreprendre[]enteprise;https://www.afecreation.fr/pid328/videos.html?annee=2016&rech_video=1&saisie=&themevideo%5B%5D=5401&x=26&y=5&utm_content=buffer0d816&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer;1466160011
Entrepreneurs, travaillez votre personal branding;article;conseils[]entepreneurs[]personal branding[]personalité;https://www.maddyness.com/business/2016/06/04/entrepreneurs-personal-branding/;1466160078
5 leviers pour valoriser votre startup avant même que votre produit ne soit sur le marché;article;valorisation[]startup[]conseils;http://snip.ly/52wug?utm_content=bufferc501d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer#http://buff.ly/1OKDylC;1466160283
4 idées clés pour préserver l'innovation au coeur de l'organisation;article;innovation[]enteprise;http://www.talentis-coach.com/4-idees-cles-pour-preserver-linnovation-au-coeur-de-lorganisation/;1466160548
89 Outils SEO Gratuits Testés : du Meilleur au Pire;article;aide[]outils[]enteprendre[]gratuit[]test;http://refeo.com/outils-seo/?platform=hootsuite;1466160612
6 conseils pour transformer un client en ambassadeur de marque ?;article;conseils[]clients[]ambassadeur[]promoteur;http://business.critizr.com/blog/4-stratégies-pour-transformer-un-client-en-ambassadeur-de-marque?utm_campaign=Traitement%20de%20l%27insatisfaction&utm_content=blog_post_transformer_client_ambassadeur&utm_medium=paidsocial&utm_source=twitter&utm_term=twi;1466160719
Startup: les étapes essentielles avant de valider son concept;article;startup[]concept[]entreprendre[]construire[]idée;http://laruche.wizbii.com/startup-concept-etapes/;1466160857
Comment faire appel à  de nouvelles compétences?;article;conseils[]compétences[]prestataires[]externaliser;http://lentreprise.lexpress.fr/creation-entreprise/etapes-creation/comment-faire-appel-a-de-nouvelles-competences_1795898.html;1466161051
Pas d'amalgame entre crowdfunding et crowdlending, SVP !;article;crowdlending[]crowdfunding;http://snip.ly/3k68m#http://www.lalibre.be/economie/placements/pas-d-amalgame-entre-crowdfunding-et-crowdlending-svp-574c734535702a22d7dcc49c?;1466161130
4 Social Media Mistakes You Are Unknowingly Making;article;erreur[]conseils[]réseaux sociaux[]communication;http://www.forbes.com/sites/ajagrawal/2016/05/25/4-social-media-mistakes-you-are-unknowingly-making/2/?hootPostID=8d504f23259625a208ee216a6e5093bb#2123eb085cab;1466161213
4 Strategies to Navigate the Fear of Public Speaking;article;présentation[]peur[]oral[]produit[]conseils[]publique;https://www.entrepreneur.com/article/275552?utm_source=Social&utm_medium=Sharebar&utm_campaign=Sumome_share;1466161268
6 Body Language Mistakes to Avoid;image;language corporel[]conseils[]erreurs;https://www.americanexpress.com/us/small-business/openforum/infographics/body-language-mistakes/;1466167590
E-commerce: 10 chiffres qui montrent l'importance d'une bonne stratégie de contenu;article;stratégie[]e-commerce[]stratégie de contenu;http://www.frenchweb.fr/e-commerce-10-chiffres-qui-montrent-limportance-dune-bonne-strategie-de-contenu/245300;1466167786
Les 10 étapes de la création d'entreprise;image;création[]entreprise[]entreprendre;https://pbs.twimg.com/media/CkG1_jaXIAA2wDh.jpg;1466167937